pattern_id,raw_name,wrong_name,wrong_en,row_count,dish_examples,verdict,reason,row_ids
1,nước tương,nước,water,203,Tôm rim bơ tỏi | Cơm Chiên Gà Rau Củ,DIFFERENT,Nước tương và nước lọc là hai loại lỏng khác nhau,"20933,20946,20979,21145,21436,21481,21523,21563,21594,21633,21660,21889,22557,22830,22946,22969,23058,23109,23340,23767,23946,23974,24441,24457,25075,25378,26849,27123,27344,27819,27934,28296,28342,28535,28639,28721,29072,29165,29254,29492,29798,29823,29864,30098,30153,30167,30256,30345,30486,30504,31057,31077,31125,31155,31204,31307,31394,31455,31474,31548,31595,31645,31660,31716,31751,32091,32244,32322,32779,32850,32884,33065,33073,33154,33195,33255,33273,33431,33493,33689,33734,33930,33967,34029,34808,35270,35387,35480,35501,35512,35595,35695,35871,36815,36938,37019,37318,37381,37389,37512,37602,37634,37650,37813,38014,38086,38094,38315,38461,38618,38867,39037,39210,39238,39365,39385,39528,39551,40264,40634,40798,40804,41348,41388,42077,42149,42186,42263,42314,42436,42526,42665,42807,44709,46158,46466,46490,46549,46979,47339,47430,47501,47574,47821,47909,47917,48032,50083,51067,51112,51196,51242,51511,52871,52901,53196,53232,53550,53567,53625,53726,53815,53831,53843,54126,54302,54576,58495,60229,60892,60907,60913,60932,60998,61008,61077,61621,61652,61768,62028,62177,62185,62275,62319,62418,62441,62590,62876,62900,62925,63040,63274,63379,63486,63517,63664,63721,63765,63843,63915,63951,64100,64130"
443,t tươi,tỏi,garlic,2,Cá Sòng hấp cuốn bánh tráng rau sống | 🌱 Canh Súp Mandu Rong Biển Đậu Hủ Chay,DIFFERENT,"t tươi thường là ớt tươi, không phải tỏi","8835,58263"
445,bóng cá chay,Cá chày,chub fish,2,Gỏi bóng cá chay trộn gỏi dưa leo siêu dễ làm | Bóng cá chay rim mè rang,DIFFERENT,Bóng cá chay khác cá chày (một loại cá thật),"8986,9101"
446,Rau ngò,rau om,rice paddy herb,2,Súp Sò Điệp Bong Bóng Cá | Gỏi nấm tuyết,DIFFERENT,Rau ngò (ngò rí) khác rau om (ngổ),"9032,14860"
451,Cần nước,cần tây,celery,2,"Ếch Xào Rau Cần Nước | Mì xào bò,cần nước",DIFFERENT,Cần nước khác hoàn toàn cần tây,"9299,34246"
452,Hành lá ớt,hành lá,green onion,2,"Đậu Hủ Kho Thịt Băm, Nấm Hương Sốt Nước Tương | Cơm bento: Mèo con phơi nắng (Cá nục kho thơm)",DIFFERENT,"Hỗn hợp hành lá và ớt, không chỉ hành lá","9795,22352"
453,củ khoai sọ,khoai môn,taro,2,"Canh cua rau rút khoai sọ | Canh cua nấu khoai sọ, rau muống, rau ngổ",DIFFERENT,Khoai sọ và khoai môn cùng họ nhưng khác loại,"10048,17663"
459,hành khô,hẹ,chives,2,Thịt heo nướng lá lốt cuốn kèm lá mơ lông | Bạch tuộc xào nấm,DIFFERENT,Hành khô (hành tím) khác hoàn toàn hẹ,"10419,11255"
461,bí non,bí xanh,winter melon,2,Bí non xào tôm nõn | Mì rau củ xào bò băm,DIFFERENT,Bí non (bí đỏ non) khác bí xanh (bí đao),"10507,41772"
467,gạch cua đồng,Trứng cua,Crab roe,2,Sủi cảo xíu mại cua | Bún Riêu Cua Bắp Bò,DIFFERENT,"Gạch cua là cơ quan sinh sản, không phải trứng","11048,12432"
470,Hành lá hành củ,hành lá,green onion,2,"Canh chua cá ngần | Thịt vịt xào măng, ớt chuông, hành tây",DIFFERENT,Gồm cả hành lá và hành củ,"11374,13062"
472,Nấm lộc nhung khô,nấm kim châm,enoki mushroom,2,Canh bí xanh nấm lộc nhung | Miến xào rau cần nấm lộc nhung,DIFFERENT,Nấm lộc nhung khác hoàn toàn nấm kim châm,"11587,14219"
474,Tỏi ớt,hành tỏi ớt,garlic chili mix,2,"Thịt heo xào húng Thái “Pad Krapow Moo” 🌿 | Gỏi mực nang, su hào",DIFFERENT,"Chỉ có tỏi ớt, thiếu hành","11982,13439"
475,Tỏi hành tím,hành tím,shallot,2,SP.0941 - Thịt Bò Xào Ớt Chuông Tàu Xì | Bánh canh phồng tôm nấu tôm,DIFFERENT,Gồm cả tỏi và hành tím,"11994,14411"
476,rau bồ ngót,rau bồng,sea vegetable,2,Canh Rau Ngót Nấu Mọc | Canh Rau Bồ Ngót Nấu Giò Sống,DIFFERENT,Rau bồ ngót khác rau bồng (rau bồng bồng),"12248,12267"
479,Mắm tôm,nước mắm,fish sauce,2,Bún Riêu Cua Bắp Bò | Cá điêu hồng om dưa,DIFFERENT,Mắm tôm khác hoàn toàn nước mắm,"12435,44329"
480,Hành ngò,hành lá,green onion,2,Canh bí đỏ thịt vai xay nấu con ruốc | Thịt vai heo kho củ cải,DIFFERENT,Ngò và hành lá là hai loại khác nhau,"12722,12732"
482,hành lá hành củ,hành lá,green onion,2,"Măng sặt xào thịt bò | Canh thịt bò bằm nấu nấm hương tươi, khoai tây, cà rốt",DIFFERENT,Gồm cả hành lá và hành củ,"13061,14092"
485,thịt sườn,ức gà,chicken breast,2,Thịt sườn kho nước dừa | Thịt sườn thăn kho nước dừa,DIFFERENT,Thịt sườn (heo) khác ức gà,"13927,20291"
487,Hành khô hành lá,hành lá,green onion,2,Canh khoai lang nấu thịt bằm | Trứng đúc thịt băm rang,DIFFERENT,Gồm cả hành khô và hành lá,"14093,39123"
488,Rau cần nước,cần tây,celery,2,Miến xào rau cần nấm lộc nhung | Bún cá nấu thơm (dứa)| Lẩu cá chay,DIFFERENT,Rau cần nước khác cần tây,"14218,24525"
490,Rau ôm ngò gai,ngò gai,culantro,2,Canh bí đỏ thịt viên | Canh bí đỏ thịt xay gà xé,DIFFERENT,Rau ôm và ngò gai là hai loại khác nhau,"14549,19665"
494,tương bần,nước mắm,fish sauce,2,Bò/bê luộc chấm tương bần | Cá trắm kho trám,DIFFERENT,"Tương bần làm từ đậu nành, khác nước mắm","15029,52008"
495,mắm tép,nước mắm,fish sauce,2,"Thịt ba chỉ rim mắm tép | Mắm tép rang tôm khô, thịt",DIFFERENT,Mắm tép khác hoàn toàn nước mắm,"15054,16688"
498,hành baro,hành lá,green onion,2,Bắp bò luộc kiểu Hàn 사태수육 | 순두부찌개- Canh đậu phụ non Hàn Quốc,DIFFERENT,Hành baro (tỏi tây) khác hành lá,"15230,53509"
500,Mì trứng,Trứng gà,Chicken Egg,2,Mì bò đài loan | Lẩu Bò Tiềm (Bò Nạm và Bò Viên),DIFFERENT,"Mì trứng là sợi mì, không phải quả trứng","16001,43993"
502,chay khô,chay,vegetarian,2,Cá mối kho chuối xanh | Cá thu vẩy sốt cà chua,DIFFERENT,"Chay khô là quả khô, chay là khái niệm chung","16569,16685"
505,rau húng lủi,rau húng chó,mint,2,Gỏi Đu Đủ Xanh Tôm Thịt | Gỏi trái cóc tôm thịt,DIFFERENT,Húng lủi và húng chó là hai loại rau khác nhau,"16713,20302"
509,cải đắng,cải thảo,napa cabbage,2,"Canh củ nấu cá quả, tôm | Canh gà nấu cải đắng và nấm đông cô",DIFFERENT,Cải đắng và cải thảo là hai loại cải khác nhau,"17499,17878"
510,lá húng quế bạc hà,bạc hà,mint,2,Phở khô trộn nấm đông cô (món chay),DIFFERENT,Lá húng quế và bạc hà khác hoàn toàn nhau,"17570,53228"
515,tàu hủ,tàu hũ ky,tofu skin,2,Cá rô phi chiên giòn(món chay) | Tàu hủ và thịt sốt sa tế,DIFFERENT,"Tàu hủ là đậu hũ miếng, khác tàu hũ ky","18889,35840"
517,nõn tôm biển,tôm viên,shrimp balls,2,Mì Quảng Xào Tôm Thịt Eat Clean,DIFFERENT,Nõn tôm tươi khác với tôm viên chế biến,"19272,61263"
532,Rau củ,rau sống,fresh herbs,2,Mì UDON tươi xào rau củ | Phở xào tôm 🦐,DIFFERENT,Rau củ xào khác với rau sống ăn kèm,"21584,45333"
536,mỡ hành,mỡ,lard,2,Bánh Canh Bột Xắt Cá Lóc | Đậu Hũ Trứng Chà Bông Mỡ Hành,DIFFERENT,"Mỡ hành là hỗn hợp, mỡ là chất béo thô","22467,31925"
543,miến tỏi đen,tỏi,garlic,2,Miến tỏi đen nấu thịt | Miến tỏi đen xào thịt ba rọi,DIFFERENT,"Miến làm từ tinh bột, tỏi là gia vị","23279,24221"
544,Bột ngũ vị hương,Bột (chung),flour,2,Thịt ba rọi chiên (nhanh gọn) | Bò né cuốn bánh tráng 🥩🍀,DIFFERENT,"Ngũ vị hương là gia vị, không phải bột nền","23391,33713"
549,mì gạo,gạo,rice,2,Mì xào trứng rau ngót | Mì gạo thịt băm,DIFFERENT,"Mì gạo là sợi mì, gạo là hạt nguyên bản","23754,44962"
555,bột rau câu,Bột (chung),flour,2,Rau câu cam | Rau câu sữa dừa lá cẩm,DIFFERENT,"Bột rau câu là chất tạo đông, không phải bột","24230,39420"
556,Nước tương dầu hào,nước,water,2,"Nấm đùi gà kho gừng, xả, ớt | Nấm đùi gà kho tiêu",DIFFERENT,"Nước tương, dầu hào là gia vị, không phải nước","24423,27996"
558,Nước luộc gà,thịt gà,chicken,2,Gà nấu nấm và mì lá tươi | Eatclean / Cháo Yến Mạch Thịt Bằm Nấm + Trứng Lòng Đào,DIFFERENT,"Nước luộc gà là lỏng, thịt gà là rắn","24795,44439"
559,Húng quế,quế,Cinnamon,2,Mì lá tươi nấu bò | Canh Mực Nấu Mướp Húng Quế,DIFFERENT,"Húng quế là rau thơm, quế là vỏ cây","24884,64366"
560,Lá gừng,gừng,ginger,2,Nấm Kho Lá Gừng Chay | Nấm Hấp Lá Gừng Chay,DIFFERENT,Lá gừng và củ gừng có công dụng khác nhau,"25070,50122"
563,vẹm xanh,rau thơm,herbs,2,"Cháo hải sản (vẹm xanh và mực) | Bào Ngư, Sò Điệp, Vẹm Xanh, Ốc Bulot, Tôm Hùm Đất- Sốt Cajun Bơ Tỏi",DIFFERENT,"Vẹm xanh là hải sản, không phải rau thơm","25273,45163"
564,Mắm ruốc,nước mắm,fish sauce,2,Canh Khế Bò Mắm Ruốc | Thịt kho mắm ruốc,DIFFERENT,Mắm ruốc và nước mắm dạng thức khác nhau,"25325,45669"
565,Chanh dây,chanh,lime,2,Đậu hũ sốt chanh dây hạt chia | Cá hồi sốt chanh dây,DIFFERENT,Chanh dây khác hoàn toàn chanh thường,"25352,31196"
569,nước màu dừa nước hàng,nước dừa,coconut water,2,Thịt Kho Hạt Dẻ | THỊT om chuối đậu (phiên bản nhà tôi),DIFFERENT,Nước màu khác nước dừa,"25558,53371"
570,bánh canh bột gạo,Bột (chung),flour,2,"Bánh canh chả cá, cá lóc | Bánh canh xương bò viên",DIFFERENT,"Bánh canh là sợi, không phải bột khô","25572,35339"
575,Cá cam,cam,orange,2,Canh chua cá cam | Bún cá cam,DIFFERENT,"Cá cam là cá, cam là trái cây","25837,47289"
578,ngô,bột ngô,cornstarch,2,Sandwich nấm chay | Bánh bao nguyên cám bò ngô cheese,DIFFERENT,Ngô nguyên hạt khác với bột ngô,"25940,47975"
581,cà rôt,cà tím,eggplant,2,Mì Ý Spaghetti Xốt Nấm Chay | Bánh Mandu Hấp Nhân Tôm Thịt,DIFFERENT,Cà rốt và cà tím là hai loại khác nhau,"26132,34199"
582,Giấm gạo,gạo,rice,2,Canh cá chim nấu ngót | Rau củ xào chay sốt chua ngọt,DIFFERENT,"Giấm gạo là lỏng, gạo là hạt","26246,28252"
587,giá đậu xanh,đậu xanh,mung beans,2,Canh Chua Tôm Măng Trúc | Mì Cay Nongshim Nấm & Thịt Trai (Vẹm Đen),DIFFERENT,"Giá là mầm cây, đậu xanh là hạt","26867,41849"
588,cá lạc,đậu phộng,peanut,2,Cá lạc kho nghệ tươi | SP.0777 - Cá Lạc Đút Lò,DIFFERENT,"Cá lạc là động vật, đậu phộng là thực vật","26899,26903"
590,nước cốt chanh dây,chanh,lime,2,Mực Sốt Thái | Râu Mực Sốt Thái,DIFFERENT,Chanh dây khác hoàn toàn chanh thường,"27071,28577"
598,Sa tế chay,chay,vegetarian,2,Đậu phụ xào sa tế - Ngày 5 | Đậu hủ tứ xuyên chay,DIFFERENT,"Sa tế là gia vị, chay là khái niệm","27979,44007"
600,chanh dây,chanh,lime,2,Salad chanh dây cải xoong Nhật với cá sòng | Phile cá diêu hồng chiên giòn sốt chanh dây,DIFFERENT,Chanh dây khác hoàn toàn chanh thường,"28042,63530"
601,ngồng tỏi,tỏi,garlic,2,"Ngồng tỏi, ớt chuông xào chả cá thác lác | SP.0691 - Thăn Heo Xào Ngồng Tỏi",DIFFERENT,"Ngồng tỏi là mầm hoa, khác với củ tỏi","28058,41227"
602,Pha nước trộn,nước,water,2,Gỏi rau càng cua chay | Rau càng cua trộn chay,DIFFERENT,"Nước trộn là hỗn hợp gia vị, không phải nước lọc","28276,30856"
605,mắm ruốc huế,nước mắm,fish sauce,2,Thịt xào mắm ruốc | Bò nhúng mắm ruốc,DIFFERENT,"Mắm ruốc là mắm đặc, khác với nước mắm","28494,37966"
606,hành tím tỏi,tỏi,garlic,2,Lẩu mắt má heo | Mì Quảng gà cá tôm,DIFFERENT,"Gồm cả hành tím và tỏi, không chỉ có tỏi","28694,51346"
612,rổ rau càng cua,cua,crab,2,Gỏi gà bắp cải càng cua | Gỏi Càng Cua Gà Vàng Pháp 🇫🇷,DIFFERENT,"Rau càng cua là thực vật, cua là động vật","29390,47189"
614,hành hương,nấm hương,shiitake mushroom,2,🌱 Đậu Hủ Chiên Sốt Tương Dầu Hành Chay (Vegan) | Bánh xèo cá kình,DIFFERENT,"Hành hương là hành củ, không phải nấm hương","29795,34088"
616,hat nêm chay,chay,vegetarian,2,"Canh chay rong biển đậu hủ nấm kim châm | Canh chua chay đậu hủ trắng,nấm kim châm và cà chua",DIFFERENT,"Hạt nêm là gia vị, không phải món chay","29838,34888"
621,rau quế,quế,Cinnamon,2,SP.0750 - Mực Nhúng Giấm | SP.0885 - Cuốn Rau Thơm Chấm Thịt Kho,DIFFERENT,"Rau quế là húng quế, khác vỏ cây quế","30312,61761"
623,Hành tây hành lá,hành lá,green onion,2,Bánh canh cua thịt gà | Mực sa tế,DIFFERENT,"Gồm hành tây và hành lá, không chỉ hành lá","30388,43090"
624,Tỏi gừng ớt,ớt,chili pepper,2,Cá bơn chiên giòn | Bắp bò ngâm mắm trộn gỏi xoài,DIFFERENT,"Hỗn hợp nhiều loại, không chỉ có ớt","30894,42682"
625,chanh ớt,ớt,chili pepper,2,Bún đậu cua | Bún khế chả cá,DIFFERENT,"Hỗn hợp chanh và ớt, không chỉ có ớt","31223,32706"
627,Tỏi hành băm,tỏi,garlic,2,Thịt bò sốt teriyaki cho người giảm cân | Rau Cải Bó Xôi Xào Thịt Bò,DIFFERENT,"Hỗn hợp tỏi và hành, không chỉ có tỏi","32027,43606"
628,thính gạo rang,gạo,rice,2,Bì Cuốn Nấm Chay | Lạp Bò Lào - Gỏi Bò Lào 🇱🇦,DIFFERENT,"Thính là bột gạo rang, khác với hạt gạo","32691,38935"
629,Bột,bột tỏi,garlic powder,2,Bánh BÒ nướng chảo | Há Cảo Nhân Tôm Thịt,DIFFERENT,Bột làm bánh khác hoàn toàn với bột tỏi,"32714,50097"
634,Cần,cần tây,celery,2,Mực mai (mực nang) xào su su | Mực luộc bia,DIFFERENT,Cần (cần ta) khác với cần tây,"33792,37058"
636,mắm ruốc chà Huế,nước mắm,fish sauce,2,Bún Bò Huế Tái Nạm | Thịt Kho Mắm Ruốc Sa Tế,DIFFERENT,Mắm ruốc khác hoàn toàn nước mắm,"33881,37568"
639,Rau,rau răm,vietnamese coriander,2,"Ức gà áp chảo vị chanh cùng rau củ | Mì, hủ tiếu giò heo",DIFFERENT,"Rau là từ chung, rau răm là loại cụ thể","33999,41214"
641,Hành khô hành hoa,nước,water,2,Thịt viên tứ hỉ (thịt viên đầu sư tử) | Cà tím xào thịt băm rang,DIFFERENT,"Hành khô hành hoa là rau, không phải nước","34111,36523"
642,hành tỏi,tỏi,garlic,2,Ruột Heo Khìa Nước Dừa | Bánh mì thịt khìa,DIFFERENT,"Hỗn hợp hành tỏi, không chỉ có tỏi","34277,42089"
646,cá cơm khô,cơm,cooked rice,2,Gỏi Cá Cơm Khô | Cá cơm rim ăn chơi,DIFFERENT,"Cá cơm là cá, cơm là tinh bột","34874,36200"
647,Boaro,nấm mèo,wood ear mushroom,2,"Canh chua chay đậu hủ trắng,nấm kim châm và cà chua | Đậu khuôn sốt nấm tươi",DIFFERENT,"Boaro là tỏi tây, khác với nấm mèo","34885,42523"
648,sữa,sữa chua,yogurt,2,Tôm phô mai bỏ lò | Hoàn thánh cá hồi sốt kem hạnh nhân,DIFFERENT,Sữa tươi/sữa đặc khác với sữa chua,"35069,38368"
651,nước chấm,nước,water,2,Vú heo nướng chao | Cá điêu hồng chiên,DIFFERENT,"Nước chấm là mắm pha, không phải nước","35373,41102"
652,Hat nêm chay,chay,vegetarian,2,Canh chay đậu hủ nấu mướp và rau | Gỏi nấm bào ngư chay,DIFFERENT,"Hạt nêm là gia vị, không phải món chay","35542,37285"
654,Gà,xương gà,chicken bones,2,Canh hầm thịt gà với rau củ | Súp hải sản,DIFFERENT,Thịt gà và xương gà dùng khác nhau,"35982,40311"
655,Tỏi hành tím,tỏi,garlic,2,Canh hầm thịt gà với rau củ | SP.0941 - Thịt Bò Xào Ớt Chuông Tàu Xì,DIFFERENT,"Hỗn hợp tỏi hành, không chỉ có tỏi","35983,62944"
656,Tỏi hành sả,tỏi,garlic,2,Thịt nướng xiên que | Mắm ruốc xào thịt,DIFFERENT,"Hỗn hợp nhiều loại, không chỉ có tỏi","36151,38493"
660,lá mắc mật,mật ong,Honey,2,Thịt nướng lá mắc mật | Heo Quay Da Giòn Lá Mắc Mật,DIFFERENT,Lá mắc mật khác hoàn toàn mật ong,"37032,54213"
664,nươc côt hoa đâu biêc,nước,water,2,Rau câu hoa hồng 2 lớp | Rau câu sợi,DIFFERENT,Nước cốt hoa khác hoàn toàn nước lọc,"37563,43136"
666,chanh leo,chanh,lime,2,Thịt gà sốt chanh dây | Cá hồi sốt chanh leo cho bé,DIFFERENT,Chanh leo (chanh dây) khác hoàn toàn chanh,"37804,40520"
669,Riềng sả gừng bột nghệ,sả,lemongrass,2,Cá song (mú) nấu kiểu chả cá Lã Vọng | Cá song nướng riềng mẻ,DIFFERENT,"Hỗn hợp nhiều loại, không chỉ có sả","38069,38074"
671,nước tương Nhật,nước,water,2,"Thịt heo xào kim chi kiểu Nhật🐷 | Cơm Cá Hồi, Súp Lơ Đút Lò",DIFFERENT,"Nước tương là gia vị, không phải nước","38307,61037"
672,Hoàn thánh nhân nấm,nấm,mushroom,2,Hoàn thánh cá hồi sốt kem hạnh nhân | Hoàn thánh tôm thịt sốt tỏi tương,DIFFERENT,"Hoành thánh là món ăn, nấm là nguyên liệu","38366,38400"
674,Hành lá tỏi,hành lá,green onion,2,Sandwich cá ngừ ốp la | Cá nục sốt cà,DIFFERENT,"Hỗn hợp hành tỏi, không chỉ hành lá","38654,44311"
676,Tim heo,thịt heo,pork,2,"Tim lợn xào rau củ | Bí non, ớt chuông xào tim heo",DIFFERENT,"Tim heo là nội tạng, không phải thịt","38872,45677"
677,Hành lá ngò rí,hành lá,green onion,2,"🌱 Bún Nưa Nấu Nấm & Cà Chua Ba Màu | Hủ Tíu Ức Gà, Nấm & Rau Củ",DIFFERENT,"Hỗn hợp hành ngò, không chỉ hành lá","38979,39866"
679,mùi,hạt mùi,coriander seeds,2,Bún hải sản | Súp gà nấm bổ dưỡng,DIFFERENT,Rau mùi (ngò rí) khác với hạt mùi,"39061,39832"
681,nước cốt dừa hoặc sữa,nước dừa,coconut water,2,Nui gà sốt cà ri rau củ | Cá hồi lăn vụn dừa,DIFFERENT,Nước cốt dừa khác hoàn toàn nước dừa,"39143,40698"
685,nước tương maggi,nước,water,2,🌱 Nấm Mỡ Kho Nước Tương Chay (Vegan) | Nui Trộn Thịt Vẹm & Rau Củ Sốt Tương Xào,DIFFERENT,"Nước tương là gia vị, không phải nước","39314,42108"
686,Dầu mè đen,Mè (Vừng),sesame seeds,2,SP.0698 - Tàu Hũ Trứng Hấp Thịt | SP.0664 - Thịt Băm Chưng Khoai Môn,DIFFERENT,"Dầu mè là chất béo, mè là hạt","39748,47138"
687,khoai,rau muống,water spinach,2,"Cháo khoai lang cá hồi | Tôm Nướng Sa Tế, Ba Rọi Heo và Rau Củ Nướng",DIFFERENT,Khoai lang khác hoàn toàn rau muống,"39845,44096"
689,Mè,rau mè,perilla leaves,2,Cơm nắm ruốc cá hồi | Canh bò Hàn Quốc pha ke cho bé :)),DIFFERENT,Mè (vừng) khác hoàn toàn rau mè,"39954,43498"
691,Tỏi ớt băm nhuyễn,ớt,chili pepper,2,Bún Trộn Bò Xào Sả (Bún Bò Xào Nam Bộ) | Gỏi Cuốn Phi Lê Cá Bơn Chiên Giòn,DIFFERENT,"Hỗn hợp tỏi ớt, không chỉ có ớt","41205,41561"
698,Ngô,bột ngô,cornstarch,2,Xốt Pizza Bò | Súp cua,DIFFERENT,Ngô (bắp) nguyên hạt khác với bột ngô,"43155,47074"
699,Hành tỏi bằm,tỏi,garlic,2,Tôm Nõn Rang (Rim) Cực Phẩm | Cá kho tộ,DIFFERENT,"Hỗn hợp hành tỏi, không chỉ có tỏi","43616,48122"
700,ml,nước,water,2,Yến mạch thịt bằm | Đậu hũ non bắp,DIFFERENT,"ml là đơn vị đo lường, không phải nước","43652,47896"
703,Lá basil khô,Mè (Vừng),sesame seeds,2,Cá Dẹp (Flat Fish) Chiên Tươi Sốt Cà Chua | Sốt Bò Cà Chua Slow Cook,DIFFERENT,Basil (húng tây) khác hoàn toàn với mè,"44491,45830"
704,mỳ,mỳ chính,MSG,2,Mì tôm | Lẩu tôm bầu,DIFFERENT,"Mỳ là thực phẩm, mỳ chính là gia vị","44977,64030"
705,Vẹm xanh,rau thơm,herbs,2,"Mì Hải Sản (cá hồi, vẹm, tôm và mộc) | Tom Yum",DIFFERENT,"Vẹm là hải sản, không phải rau thơm","45127,45283"
709,Hành tỏi ớt,ớt,chili pepper,2,Mắm Cá Lóc Đồng Chưng Thịt Trứng | Thịt heo bọc sả chiên dòn,DIFFERENT,"Hành tỏi ớt là hỗn hợp, không chỉ có ớt","46040,47006"
714,tương đậu,nước tương,Soy sauce,2,Thịt Luộc Bossam (보쌈) - Ẩm thực Hàn Quốc | Đậu hũ rim Hàn Quốc - Mapo tofu,DIFFERENT,Tương đậu (đặc) khác nước tương (lỏng),"48529,49920"
716,cu ca rôt,cá rô,perch,2,"Bánh canh cá cờ, đậu hủ từ cơm nguội, bột gạo, bột năng | Măng tây,cà rốt và bông cải xanh xào thịt bò",DIFFERENT,"Củ cà rốt là rau củ, cá rô là cá","48813,50756"
721,ngo ri,lá nori,nori,2,Đậu hủ chiên giòn sốt cay(món chay) | Cá hồi xốt chanh dây,DIFFERENT,"Ngò rí là rau, lá nori là rong biển","49714,49831"
723,cải diếp xoăn endive,cải xoăn,kale,2,"Thuyền Taco Gà & Rau Quả | Salad Rau Diếp Xoăn, Bắp Cải Tím & Ức Gà Áp Chảo",DIFFERENT,Diếp xoăn endive khác cải xoăn kale,"49991,53475"
727,Cá mó,cá sòng,horse mackerel,2,Cá Mó Chiên Sả | Cá Mó Chiên Giòn - 25 phút,DIFFERENT,Cá mó và cá sòng là hai loài khác nhau,"51473,63994"
732,Hành baro,hành lá,green onion,2,Thịt ba chỉ nướng tại gia kiểu Hàn Quốc | Đậu hũ rim cay ngọt Hàn Quốc 두부조림,DIFFERENT,Hành baro (tỏi tây) khác hành lá,"53510,53613"
734,cà ri dầu,cà tím,eggplant,2,Cà Ri Đùi Ếch Chôm Chôm | Cà Ri Cá Chim,DIFFERENT,"Cà ri dầu là gia vị, cà tím là rau","54180,64119"
737,sấu,gia vị,seasoning,2,Canh Sấu Nấu Mộc Và Thịt Bò | Rau Muống Luộc và Nước Luộc Rau,DIFFERENT,"Sấu là quả/chất làm chua, không phải gia vị chung","56281,56891"
740,bông kim châm,nấm kim châm,enoki mushroom,2,Bún cá lóc | Canh bông kim châm tôm thịt,DIFFERENT,Bông kim châm khác nấm kim châm,"57979,60166"
741,tương đen,nước mắm,fish sauce,2,"Bún sườn bò, bò viên | Bún bò viên",DIFFERENT,Tương đen khác hoàn toàn nước mắm,"59024,59568"
742,ngò tây,măng tây,asparagus,2,Măng tây xào bò | Măng tây cà chua xào thịt,DIFFERENT,Ngò tây (parsley) khác măng tây,"59484,60309"
743,Gừng hành tỏi khô,tỏi,garlic,2,"Bún cá rô phi, chả cá | Cá sủ nấu canh chua với chả cá",DIFFERENT,Hỗn hợp gừng hành tỏi khô không chỉ có tỏi,"59685,61165"
744,ngô bao tử,bắp ngọt,sweet corn,2,"Ngô bao tử, phù trúc (tàu hũ ky), nấm tuyết xào trứng | Rau Xào Ngũ Sắc",DIFFERENT,Ngô bao tử (ngô non) khác bắp ngọt (già),"60568,64931"
745,rau dền cơm,cơm,cooked rice,2,Rau dền cơm nấu mọc tôm thịt | Canh hến rau dền cơm,DIFFERENT,"Rau dền cơm là rau, không phải cơm","60783,62951"
747,Su hào,su su,chayote,2,Gỏi nấm tuyết | Su hào xào nấm đùi gà và bắp,DIFFERENT,Su hào và su su là hai loại khác,"62438,64567"
751,củ Hành tây tím,hành tím,shallot,1,Cá Khế Chiên Sốt Chua Ngọt,DIFFERENT,Hành tây tím và hành tím là khác nhau,6010
752,Cải mèo,nấm mèo,wood ear mushroom,1,Canh Cải Mèo Thịt Băm,DIFFERENT,"Cải mèo là rau, nấm mèo là nấm",6028
754,cắt lát Gừng,bột gừng,ginger powder,1,Cá Chim Hấp,DIFFERENT,Gừng lát tươi khác bột gừng,6047
755,băm nhỏ Tỏi,bột tỏi,garlic powder,1,Cá Chim Hấp,DIFFERENT,Tỏi băm tươi khác bột tỏi,6051
756,tôm đất nhỏ hoặc tép đồng,tôm thẻ loại to,shrimp,1,Gỏi Rau Má Tôm Đất,DIFFERENT,Tôm đất/tép đồng nhỏ khác tôm thẻ to,6054
757,Khoai muống,rau muống,water spinach,1,Canh khoai muống nấu nấm,DIFFERENT,Khoai muống (khoai sọ) khác rau muống,6062
759,tôm sắt biển,tôm sú,shrimp,1,Bún hải sản đơn giản,DIFFERENT,Tôm sắt biển và tôm sú là hai loài khác,6072
762,thịt nạc đùi,thịt nạc dăm,pork shoulder,1,JAMBON thịt nguội,DIFFERENT,Thịt nạc đùi khác thịt nạc dăm (vai),6103
763,bột hồng cúc bột gạo men đỏ,bột gạo,rice flour,1,JAMBON thịt nguội,DIFFERENT,"Bột hồng cúc là phụ gia màu, không phải gạo",6117
768,nước cốt hành tỏi xay,hành tỏi ớt,garlic chili mix,1,Thịt Ba Chỉ Nướng Lá Mắc Mật,DIFFERENT,Cốt hành tỏi không có ớt,6165
773,thịt diềm thăn bò,nạc thăn,pork tenderloin,1,Thịt bò xào bông cải,DIFFERENT,"Diềm thăn là thịt bụng, nạc thăn là thịt lưng",6193
774,sả củ tỏi,sả,lemongrass,1,Khô bò ướt mềm ngon,DIFFERENT,"Sả củ tỏi là hỗn hợp, không chỉ có sả",6194
776,ngò rí trang trí,đậu phộng,peanut,1,Gỏi Thịt Bò Hoa Chuối,DIFFERENT,"Ngò rí là rau, đậu phộng là hạt",6242
778,sốt kho đa dụng,sốt chua ngọt,sweet sour sauce,1,Cá Hú Kho Tiêu (Siêu Hao Cơm),DIFFERENT,Sốt kho đa dụng khác sốt chua ngọt,6269
784,ngò già lấy cả gốc,ngò gai,culantro,1,Cá Chim Hấp Nước Tương Kiểu Hongkong,DIFFERENT,Ngò già (mùi) khác hoàn toàn ngò gai,6444
