rank,wrong_name,pattern_count,row_count,pct_of_total,cumulative_pct,example_raw_names,example_dishes
119,đậu,4,4,0.12%,91.89%,t trái bỏ hạt | dầu hạt lanh | đỗ trọng | ngô tách hạt,"Tàu hủ và thịt sốt sa tế | Salad Rau Diếp Xoăn, Bắp Cải Tím & Ức Gà Áp Chảo | Đuôi Heo Hầm Sâm Ngọc Linh"
120,nước dùng,4,4,0.12%,92.01%,nước tương nhật tôi dùng hiệu kikkoman | Nước tương dùng kèm | Nước tương dầu hào không có không dùng dầu hào cũng được | Nước đá dùng khi xay,Thịt Kho Đài Loan | Tô Cơm Trộn Cá Ngừ (Tuna Rice Bowl) | Nấm đùi gà xào bơ tỏi
121,dừa,1,3,0.09%,92.10%,dầu dừa,Pancake rau bina | Đậu hũ chấm mắm tôm với lá tía tô và kinh giới
122,dầu hạt nho,1,3,0.09%,92.20%,dầu hạt lanh,"Salad Rau Diếp Xoăn, Bắp Cải Tím & Ức Gà Áp Chảo | Cá Đuối Luộc Súp Bouillon Kèm Đậu Hà Lan Cà Rốt"
123,nghêu,1,3,0.09%,92.29%,gao,Cháo tim heo hạt sen | Cháo chân bò hầm đậu xanh
124,hoa chuối,1,3,0.09%,92.38%,chuối,Cá kho riềng | 💚 Bánh Mì Sandwich Chuối & Phô Mai Bò Cười 😜
125,bí xanh,2,3,0.09%,92.48%,bí non | nươc côt tra xanh,Bí non xào tôm nõn | Mì rau củ xào bò băm | Chè trôi nước 4 màu tự nhiên từ rau củ quả
126,rau húng chó,2,3,0.09%,92.57%,rau húng lủi | rau Húng lủi,Gỏi Đu Đủ Xanh Tôm Thịt | Gỏi trái cóc tôm thịt | Gỏi Bưởi Hồng Cơm Dừa Tôm Thịt
127,tàu hũ ky,2,3,0.09%,92.66%,tàu hủ | tàu hũ chiên,Cá rô phi chiên giòn(món chay) | Tàu hủ và thịt sốt sa tế | Canh nấm kim châm rau thì là
128,sữa chua,2,3,0.09%,92.76%,sữa | sữa chua dầu ăn,Tôm phô mai bỏ lò | Hoàn thánh cá hồi sốt kem hạnh nhân | Bánh canh phồng tôm kim chi
129,nấm,2,3,0.09%,92.85%,Hoàn thánh nhân nấm | mọc thịt mình thường mua thịt xay trộn gia vị và mộc nhĩ nấm hương viên sẵn để ngăn đá để tiện nấu,Hoàn thánh cá hồi sốt kem hạnh nhân | Hoàn thánh tôm thịt sốt tỏi tương | Mì nấu mọc thịt
130,mỳ chính,2,3,0.09%,92.94%,mỳ | Phần mỳ,Mì tôm | Lẩu tôm bầu | Mỳ Ý sốt kem nấm phiên bản dành cho em bé
131,cá rô,2,3,0.09%,93.04%,cu ca rôt | cá rô to khoanh cá basa,"Bánh canh cá cờ, đậu hủ từ cơm nguội, bột gạo, bột năng | Măng tây,cà rốt và bông cải xanh xào thịt bò | Món cá kho ăn cơm với nộm (gỏi) rau muống 👏"
132,cải xoăn,2,3,0.09%,93.13%,cải diếp xoăn endive | xà lách xoăn Friseline,"Thuyền Taco Gà & Rau Quả | Salad Rau Diếp Xoăn, Bắp Cải Tím & Ức Gà Áp Chảo | Salad Friseline Trộn Cá Cơm Muối"
133,tôm sú,3,3,0.09%,93.22%,tôm sắt biển | tôm he | tôm đồng,Bún hải sản đơn giản | Tôm nõn rim tiêu | Tôm trứng rang lá chanh
134,sốt chua ngọt,3,3,0.09%,93.32%,sốt kho đa dụng | sốt lẩu chua hải sản | Cà rốt ngâm chua ngọt,Cá Hú Kho Tiêu (Siêu Hao Cơm) | Lẩu cá diêu hồng chua cay dịp 30.4 | Bánh Mì Chay Kẹp Rau Củ Đơn Giản
135,nấm bào ngư,3,3,0.09%,93.41%,ường nâu | nấm mỡ nâu | nấm mỡ trắng,Nấm Rơm khô rim mặn với tiêu xanh | Bò Wellington | Nui Sốt Kem Nấm Thì Là & Cá Hồi Gravlax
136,nạm bò,3,3,0.09%,93.50%,Bò băm | bò xay | Bò xay,Nui Nơ Sốt Bò Cà Chua Bỏ Lò | Bánh Mì Bò Phô Mai | Canh Cà Chua Bò Rau Răm
137,bột hành,3,3,0.09%,93.60%,củ hành | Bột thính | bột tỏi bột hành,Khoai môn bọc thịt chiên giòn | Nem thính chay từ nấm đùi gà | Mực tẩm bột chiên giòn đơn giản
138,cá trê,3,3,0.09%,93.69%,khô cá trèn | cá trèn | catfish,"Khô Cá Trèn, Cá Chốt Chiên Chấm Mắm Me | Cá Trèn Kho Tiêu | Cháo catfish(cá bông lau)"
139,mơ,3,3,0.09%,93.78%,đậu làng Mơ | Rau cải mơ non | Lá mơ lông,Đậu làng Mơ rim thịt băm | Lẩu bò nhúng mẻ | Lá mơ lông cuốn đậu hũ
140,nạc heo,3,3,0.09%,93.88%,thịt bò nạc | thịt gà nạc | thịt nạc dê,Soup Bò hầm rau củ | Canh Yellow Squash thịt gà | Cháo thịt dê đậu xanh
141,gạo nếp,3,3,0.09%,93.97%,bắp nếp | bắp Ngô nếp tách hạt giã dập | Lá nếp,Bắp Nếp Hầm Sườn Heo | Chả tôm thịt rong biển | Bánh bò nướng chảo nhân dừa
142,me,3,3,0.09%,94.06%,me rang | Khuôn rau câu silicon me bông conkhuôn nho va lơn | Me trăng răc lên banh,Bóng cá chay chiên giòn mè rang | Rau câu bắp 2 lớp | Bánh Mì Nhân Gà Nấm
143,cải,3,3,0.09%,94.16%,rau củ quả cắt sẵn ở siêu thị | Rau củ | Rau,Súp chay rau củ | Bánh mì khô kẹp phomai lăn rau củ | Bánh bao gà nấm nguyên cám 🐥🍄
144,trái cherry,3,3,0.09%,94.25%,Cà chua cherry | cà chua cherry cà chua thường hoặc cà chua bi | cà chua cherry đủ màu,Eat Clean với ức gà chiên bằng nồi chiên không dầu - bún gạo lức - rau luộc | Salad tôm bóc nõn - #healthy | Nấm Mỡ Xào Cà Chua Bi (Vegan)
145,thì là,3,3,0.09%,94.34%,Bún thường ngoài chợ bán theo ký người tầm nửa ký là vừa còn bún khô thì vắt cho người | hắc xì dầukhông có thì cho nhiều nước tương chút là được | cốt tomyum thật ra cái này là thói quen của mình không có không ảnh hưởng mọi người ạ cái lọ tomyum mình có để hình ở bài mì udon rồi mọi người cần thì xem ở đấy nhé,Bún rau củ chay | Mỳ xào thịt xay | Đậu bắp xào chả cá
146,thịt vai bò,1,2,0.06%,94.40%,thịt bò phile,Vòng nguyệt quế (salad xà lách xoong trộn bò) | Bún thịt bò trụng
147,rau ngót,1,2,0.06%,94.47%,Rau bồ ngót Nhật,"Canh bồ ngót Nhật và tôm mực | Canh tôm, bồ ngót Nhật, cà rốt"
148,cá mối,1,2,0.06%,94.53%,Cá mó,Cá Mó Chiên Sả | Cá Mó Chiên Giòn - 25 phút
149,rau bồng,1,2,0.06%,94.59%,rau bồ ngót,Canh Rau Ngót Nấu Mọc | Canh Rau Bồ Ngót Nấu Giò Sống
150,hạt mùi,1,2,0.06%,94.65%,mùi,Bún hải sản | Súp gà nấm bổ dưỡng
151,lá nori,1,2,0.06%,94.72%,ngo ri,Đậu hủ chiên giòn sốt cay(món chay) | Cá hồi xốt chanh dây
152,măng tây,1,2,0.06%,94.78%,ngò tây,Măng tây xào bò | Măng tây cà chua xào thịt
153,củ đậu,2,2,0.06%,94.84%,Phở sắn | ậu cove,Cá Nục Hấp Cuốn Rau Muống và Phở Sắn | Bánh xèo rau củ
154,dưa lưới,2,2,0.06%,94.90%,dưa hường | dưa hồng gram,Canh dưa hường nấu nấm kim châm | Canh dưa hồng nấu tôm
155,bột gà,2,2,0.06%,94.96%,Hột gà | hột gà,SP.0995 - Bò Bía Mặn | SP.0969 - Hột Gà Chiên Thịt Heo Bằm
156,cải ngọt,2,2,0.06%,95.03%,cải hồng | cải vàng ngâm chua ngọt,🌱 Bún Đậu Hủ Nước Tương Trộn Rau Củ | Gỏi Cuốn Ức Gà & Rau Củ Ngũ Sắc
157,chanh trà,2,2,0.06%,95.09%,Chanh ớt | chanh ớt,"Bánh canh xương sụn chả cá | Mì Quảng gà, heo"
158,tim heo,2,2,0.06%,95.15%,tim gan cật heo | Hanh lahanh tim băm nho,"Mì Trứng Trộn Sốt Nấm Hương | Tim heo xào bông cải xanh,su su và bắp cải"
159,khoai tây,2,2,0.06%,95.21%,tinh bột khoai tây | Bột khoai tây,Thịt chiên xù chấm sốt chua ngọt | Thịt chiên ăn cùng sốt chua ngọt
160,Thịt băm,2,2,0.06%,95.28%,nhân khổ qua | toi bằm,Canh bắp cải nấu thịt mộc nhĩ | Bún thịt nướng xiên que
161,rau cải đắng,2,2,0.06%,95.34%,rau cải ngọt | Rau xà lách các loại rau thơm và rau cải đắng,Gỏi gà rau cải ngọt | Phở cuốn thịt bò
162,bơ,2,2,0.06%,95.40%,lạt | dầu ăn đủ để chiên tôi dùng dầu trái bơ,Nấm đùi gà xào bơ tỏi | Cá Tuyết Haddock Tẩm Bột Khô Áp Chảo
163,huyết heo,2,2,0.06%,95.46%,thit heo | huyết vịt lớn,"Bánh xèo tôm thịt,nấm bào ngư ăn kèm rau cải xanh và rau sống | Nui giò heo"
164,bánh phồng tôm,2,2,0.06%,95.52%,tôm | Tôm,Súp bánh phồng tôm nấu sườn | Tôm chiên phồng
165,dầu ăn,2,2,0.06%,95.59%,Hành củ dầu ăn hoặc mỡ | mỡ heo nước dầu ăn,Rau bắp cải xào | CUA đồng kho mặn
166,Cá tuyết muối,2,2,0.06%,95.65%,thịt cá mặn | cá mặn,SP.0787 - Tàu Hũ Non Chưng Thịt Xay & Cá Mặn | Cơm chiên thịt quay cá mặn
167,cá tầm,2,2,0.06%,95.71%,cá sủ tầm kg | cá mặn tầm gr,Cá sủ nấu măng chua | Gỏi xoài cá mặn
168,bao tử heo,2,2,0.06%,95.77%,dạ dày cá basa | dạ dày cá ba sa khoảng gram,Dạ cá basa khìa nước dừa | Dạ dày cá ba sa nướng
169,giò heo,2,2,0.06%,95.83%,cáy còng đỏ ba khía | t tươi,Canh mùng tơi rau đay nấu cáy còng đỏ (ba khía) | Canh Chuối Chát Nấu Giò Heo
170,đùi gà,2,2,0.06%,95.90%,cá đùi gà | cá đùi gà nắng,Cá đùi gà chiên giòn | Cá đùi gà kho keo
171,bánh pizza,2,2,0.06%,95.96%,Gia vị pizza hương thảo lá xô thơm húng tây khô | hộp cà chua cô đặc hoặc sốt cà chua cho pizza,Pizza đế mỏng kiểu Florence (vị nấm) | Pizza Cá Ngừ Hộp & Mozzarella Tươi
172,kem,2,2,0.06%,96.02%,lon cream soda | Phân ăn kem,"Bò sốt vang, cream soda | Chè trôi nước 4 màu tự nhiên từ rau củ quả"
173,giò,2,2,0.06%,96.08%,Nước luộc chân giò thảo mộc | chả giò,Mỳ chân giò / mỳ bò thảo mộc | Bún thịt nướng chả giò
174,cá rô phi,2,2,0.06%,96.15%,cá rô | ca rô khoang gr,Cá rô chiên giòn | Bún cá rô chả cá
175,sữa,2,2,0.06%,96.21%,mực ghim sữa Phú Yên | mực ống nhỏ mực sữa,Mực Ghim Sữa Nướng Sả Ớt | Mực ống (mực sữa) xào cần tỏi
176,chà bông,2,2,0.06%,96.27%,Nguyên liệu trộn thịt | ruốc ngon,Chà bông heo Đài Loan 🇹🇼 | Muối sả ruốc thịt ăn liền cho ngày mưa 🤤
177,củ canh,2,2,0.06%,96.33%,muông canh dâu ăn | muông canh đương,"Bánh canh cá cờ, đậu hủ từ cơm nguội, bột gạo, bột năng | Đậu hủ kho tương hột (món chay)"
178,bột gừng,1,1,0.03%,96.36%,cắt lát Gừng,Cá Chim Hấp
179,thịt nạc dăm,1,1,0.03%,96.39%,thịt nạc đùi,JAMBON thịt nguội
180,nạc thăn,1,1,0.03%,96.43%,thịt diềm thăn bò,Thịt bò xào bông cải
181,kho cá,1,1,0.03%,96.46%,khô cá lóc,Gỏi Xòai Xanh trộn khô cá lóc
182,Thịt ba chỉ,1,1,0.03%,96.49%,thịt đùi,Heo quay giòn bì kiểu 3: không xăm bì hoặc ngâm giấm
183,bột nếp,1,1,0.03%,96.52%,bột bắp,Bánh trôi nước nhân thịt gà nấm và đậu xanh
184,gấc,1,1,0.03%,96.55%,nước cốt kẹo,Xôi thỏi vàng cá koi
185,rau tần ô,1,1,0.03%,96.58%,lá rau tần dày,Canh Chua Đầu Cá Mú Đen
186,cải thìa,1,1,0.03%,96.61%,Rau cải thảo,Miến xào rau nấm thanh nhẹ
187,khế,1,1,0.03%,96.64%,Trái giác,Cá Nâu Kho Trái Giác Miền Tây
188,chả cá lóc,1,1,0.03%,96.67%,chả cá thu cá măng,Canh Khổ Qua Dồn Chả Cá
189,cá tra,1,1,0.03%,96.71%,cá trác,Cá trác kho dưa môn
190,mực,1,1,0.03%,96.74%,Nấm trùng thảo,Mướp hương xào nấm trùng thảo
191,chả huế,1,1,0.03%,96.77%,Chả quế,SP.0995 - Bò Bía Mặn
192,lá bắp cải,1,1,0.03%,96.80%,Lá bắp cải hành lá,"Cải bắp cuộn tôm, thịt"
193,tỏi gừng,1,1,0.03%,96.83%,Tỏi ớt chanh gừng,Nạm bò luộc
194,xà lách tím,1,1,0.03%,96.86%,xà lách ta,Rau sống sốt chanh dây
195,Bong bóng cá,1,1,0.03%,96.89%,bao tử cá basa,Bao tử CÁ BASA khìa nước dừa
196,bún hoành thánh,1,1,0.03%,96.92%,wonton noodles lá mì,"Wonton, seafood noodles, crispy chicken (hoành thánh, mì hải sản, gà giòn)"
197,trứng cá,1,1,0.03%,96.95%,trứng cua,Sủi cảo xíu mại cua
198,dầu hẹ,1,1,0.03%,96.98%,dầu mè,"Canh Hẹ, Đậu Hũ Trứng Nấu Nấm Rơm"
199,dầu hào,1,1,0.03%,97.02%,Dầu oliu dầu hào,Bạch tuộc xào nấm
200,nấm rơm,1,1,0.03%,97.05%,nấm mỡ,Lẩu thịt rau củ
201,hải sản,1,1,0.03%,97.08%,phomai hải sản,Viên hải sản chiên kèm ớt chuông xào hành tây
202,khoai từ,1,1,0.03%,97.11%,khoai tím,Khoai Tím Nấu Chả Mọc Tôm
203,rau basil,1,1,0.03%,97.14%,lá é trắng,Canh Cá Dìa Nấu Lá É
204,rau cải ngồng,1,1,0.03%,97.17%,ngồng su hào,Ngồng su hào xào thịt bò
205,thịt nguội,1,1,0.03%,97.20%,thịt luộc,Salad thịt luộc vét tủ lạnh
206,heo quay,1,1,0.03%,97.23%,thịt nướng,Bánh phở cuốn thịt nướng
207,nước mẻ,1,1,0.03%,97.26%,nước ấm,Sườn Heo Nướng Tảng
208,mắm ruốc,1,1,0.03%,97.30%,con ruốc,Canh rau tần ô nấu con ruốc
209,riềng,1,1,0.03%,97.33%,riềng sả,Cá trứng kho
210,tim bò,1,1,0.03%,97.36%,thit bo,Phở Cuốn Bò Xào
211,rau mùi,1,1,0.03%,97.39%,Rau mùi tàu,Đậu phụ om cà chua
212,nước cốt chanh,1,1,0.03%,97.42%,tắc vắt nước cốt,"Canh Chua Chả Cá Hố, Rau Sam, Bông Giờ"
213,mỡ heo,1,1,0.03%,97.45%,mỡ hành,Bún thịt nướng đậu hũ
214,cá hộp,1,1,0.03%,97.48%,cá hấp,Bánh tráng cuốn cá hấp
215,bột cà ri,1,1,0.03%,97.51%,Cà rối,Tôm cuốn lá cải xốt xì dầu
216,củ cải,1,1,0.03%,97.54%,ường củ cải,Chè xoài bột báng thạch rau câu
217,chùm ngây,1,1,0.03%,97.58%,mì chùm ngây,Mì chùm ngây trộn thịt chả
218,su hào,1,1,0.03%,97.61%,lá su hào,Canh Lá Su Hào Thịt Băm Viên
219,giá hẹ,1,1,0.03%,97.64%,giá sạch,Cá bớp nấu canh chua
220,thịt chay,1,1,0.03%,97.67%,thịt xay,Canh rau đay nấu tôm thịt
221,cá bè,1,1,0.03%,97.70%,cá ông cụ,Cá ông cụ chiên sốt chua ngọt
222,nấm tràm,1,1,0.03%,97.73%,nấm trà tân,Bánh Xèo Nấm
223,bề bề,1,1,0.03%,97.76%,Tôm tuỳ ý,Tôm xào bơ tỏi
224,ớt sừng,1,1,0.03%,97.79%,ớt ngò,Tôm và nghêu hấp sả
225,chuối sáp,1,1,0.03%,97.82%,chuôi chát,Cá Chốt Om Măng Chua Khế Chuối Chát
226,chà chua,1,1,0.03%,97.86%,canh chua,Bún tôm nấu chua
227,trứng vịt,1,1,0.03%,97.89%,vịt,VỊT tiềm nấm hương & bắp non
228,cá lóc,1,1,0.03%,97.92%,cá diêu hồng hoặc cá lóc,CÁ diêu hồng hấp với củ sắn
229,tía tô,1,1,0.03%,97.95%,dầu tía tô,Đậu phụ rim
230,cá chuồn,1,1,0.03%,97.98%,cá én nắng,Cơm rang cá én 1 nắng
231,cá dứa,1,1,0.03%,98.01%,sốt kho cá,Khô cá DỨA kho thơm
232,sườn heo,1,1,0.03%,98.04%,sườn lát,Giò heo cuộn chiên giòn (món chay)
233,đậu hũ,1,1,0.03%,98.07%,hũ đậu ngâm đóng hộp,Taco thịt bò và taco tôm cá với salsa xoài
234,đậu bắp,1,1,0.03%,98.10%,đậu bắp rau cần tây,Lá hoành thánh chiên kèm rau củ xào
235,sắn,1,1,0.03%,98.13%,phở sắn,Phở sắn chiên giòn sốt mực xào rau củ chua ngọt
236,rau câu,1,1,0.03%,98.17%,rau cân,Canh cá nâu nấu ngót
237,súp chay,1,1,0.03%,98.20%,súp,Bún Nưa Nấu Tôm & Rong Biển
238,cá chỉ vàng,1,1,0.03%,98.23%,cá chai khô đã rút xương,Cá chai khô rim mắm đường
239,nhãn,1,1,0.03%,98.26%,đọt nhãn lồng,SP.0783 - Canh Đọt Nhãn Lồng Nấu Chả Cá
240,lá mì,1,1,0.03%,98.29%,Mì chũ rau củ vắt,Mì Chũ Xào Bò
241,tim gà,1,1,0.03%,98.32%,lòng gà tim gan mề,Nấm xào tim gan mề gà
242,mùi tây,1,1,0.03%,98.35%,kicap,Râu mực xào lá quế
243,rau tạp,1,1,0.03%,98.38%,củ cà rốt củ khoai tây củ hành tây,Cơm cà ri bò kiểu Nhật
244,cá ngạnh,1,1,0.03%,98.41%,cá trèn,Cá trèn chiên giòn
245,bí ngòi vàng,1,1,0.03%,98.45%,cá rô bí,Cá Rô Bí Kho Tiêu
246,khoai lang,1,1,0.03%,98.48%,khoai sáp vàng đã gọt sạch,Thịt heo quay kho chao
247,cọ,1,1,0.03%,98.51%,Kẹp gắp kéo cắt cọ quét,Thịt Nướng Hàn Quốc
248,hạt điều,1,1,0.03%,98.54%,Dầu điều có thể thay dầu ăn,Thịt ba rọi xá xíu
249,thịt viên,1,1,0.03%,98.57%,chả mực hoặc mực viên,Súp nấm hương rau củ thịt nguội
250,tôm,1,1,0.03%,98.60%,tôm chay,Bún gạo lức xào bò tôm mực (CHAY)
251,cá ba sa,1,1,0.03%,98.63%,Sa,Bún Bò Huế(Xương Bò)
252,mít non,1,1,0.03%,98.66%,mít,Thạch rau câu mít :
253,đậu đen,1,1,0.03%,98.69%,Bơ đậu phộng tương đen,Cuốn đậu hũ eatclean
254,cá hồi,1,1,0.03%,98.73%,Gia vị ướp cá,Lườn Cá Hồi Teriyaki Nướng Cuốn Tỏi & Tía Tô
255,lươn,1,1,0.03%,98.76%,lươn ca hôi,Lườn cá hồi kho hành ớt
256,chè vải,1,1,0.03%,98.79%,vải,Rau câu vải nước dừa
257,cá trôi,1,1,0.03%,98.82%,cá trô biển,Bún cá cuốn
258,gạo lứt,1,1,0.03%,98.85%,mì lứt hoặc mì rau củ,Mì lứt tôm sốt bơ lạnh 🍤🥑🧄
259,bột gia vị,1,1,0.03%,98.88%,Thịt kho trứng,Xôi Thịt Kho Trứng
260,nem bưởi,1,1,0.03%,98.91%,Bưởi,Gỏi bưởi tôm thịt
261,mía,1,1,0.03%,98.94%,sò mía,"Lẩu Thái Hải Sản, Bò, Gà"
262,cá,1,1,0.03%,98.97%,nâm bao ngư,"Bánh canh chay sườn chay gà,đậu hủ và nấm bào ngư"
263,cánh gà,1,1,0.03%,99.01%,thịt nạc gà hoặc ức đùi cánh lườn gì cũng được,Thịt Gà Kho Rau Răm
264,dầu ô liu,1,1,0.03%,99.04%,Olive,"Pizza Thịt Nguội, Phô Mai và Olive"
265,bầu,1,1,0.03%,99.07%,rau bầu đất,Canh Rau Bầu Đất Nấu Tôm
266,chân nấm,1,1,0.03%,99.10%,Chân giò hầm nấm,Chân giò hầm nấm ăn kèm bánh mỳ
267,vỏ bánh,1,1,0.03%,99.13%,Bánh mỳ nhiều vỏ mỏng ruột,Chân giò hầm nấm ăn kèm bánh mỳ
268,ổi,1,1,0.03%,99.16%,Lá ổi,Nem thịt thính gạo
269,bí đỏ,1,1,0.03%,99.19%,bí non,"Bí non, ớt chuông xào tim heo"
270,hàu,1,1,0.03%,99.22%,Gia vị oyster nước tương gừng tỏi,Thịt gà xào ớt chuông
271,xương heo,1,1,0.03%,99.25%,ương quy,Giò Heo Tiềm Thuốc Bắc
272,xốt thịt xá xíu,1,1,0.03%,99.29%,thit xa xiu,Mì trứng xào mực và thịt xá xíu
273,đậu hà lan,1,1,0.03%,99.32%,đâu hanh la,"Cá mú hấp hành,gừng,xì dầu và dầu hào"
274,xíu mại,1,1,0.03%,99.35%,xiu muôi,Rau Câu Chữ Tài Lộc Và Thỏi Vàng Cho Ngày Vía Thần Tài
275,bột xù,1,1,0.03%,99.38%,bôt chiên gion,Cá cơm chiên giòn xóc mắm tỏi
276,trái lựu,1,1,0.03%,99.41%,lardon cắt hạt lựu,"Pizza Lardon, Nấm Mỡ Full 3 Loại Phô Mai"
277,chao,1,1,0.03%,99.44%,chen gao,Cháo đậu đỏ ăn kèm cá nục kho
278,bông bí,1,1,0.03%,99.47%,bông so đũa,Lẩu cá thác lác
279,lê,1,1,0.03%,99.50%,ức gà phi lê ka,Mì gà trộn cay cùng với bắp cải và nấm
280,trà xanh,1,1,0.03%,99.53%,trà túi lọc,Cá TRẮM kho dưa cải
281,xúp mì,1,1,0.03%,99.56%,noodle,Lẩu thịt rau củ
282,lát,1,1,0.03%,99.60%,lát hoài sơn,Đuôi Heo Hầm Sâm Ngọc Linh
283,hộp nấm,1,1,0.03%,99.63%,hộp gr ậu hũ non,Canh Nấm Bào Ngư Chay
284,cá viên,1,1,0.03%,99.66%,ường phèn viên nhỏ,Bún cá cam
285,thịt ngan,1,1,0.03%,99.69%,Ngán,Canh ngán rau muống
286,rong biển,1,1,0.03%,99.72%,Salicorne rau ngón biển,Mì Ý Xào Tôm & Rau Ngón Biển
287,dầu sate,1,1,0.03%,99.75%,xìa dầu,Nấm Hải Sản Kho Sa Tế
288,mì gói,1,1,0.03%,99.78%,Mỳ ý gói,Mỳ ý tôm sốt kem
289,cá chai,1,1,0.03%,99.81%,Bông so đũa,Lẩu cá tầm măng chua
290,hạt óc chó,1,1,0.03%,99.84%,óc,Óc heo hầm ngải cứu
291,Hành ngò,1,1,0.03%,99.88%,rau thơm các loại húng lủi húng quế húng cay diếp cá tía tô kinh giới lá sung lá cóc,Nấm Đùi Gà Trộn Thính
292,nước thịt kho,1,1,0.03%,99.91%,nước chấm thịt quay,Thịt Heo Quay Kho Sa Tế Nước Dừa
293,sung,1,1,0.03%,99.94%,Thính gạo,Chạo nấm chay
294,tiêu xanh nhánh,1,1,0.03%,99.97%,tiêu đen,Nấm đùi gà om xốt tiêu đen
295,cá liệt,1,1,0.03%,100.00%,cá bánh đường,Cá Bánh Đường Nướng Sả
